Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10µF","C_0603_1608Metric",21.110000,-7.880000,0.000000,bottom
"C8","10µF","C_0603_1608Metric",20.937500,-11.760000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",7.660000,-3.030000,90.000000,bottom
"C11","10µF","C_0603_1608Metric",20.962500,-10.610000,0.000000,bottom
"C12","220µF","CP_EIA-3528-15_AVX-H",-1.800000,-3.700000,180.000000,bottom
"C16","100nF","C_0402_1005Metric",12.350000,-16.970000,270.000000,bottom
"C17","100nF","C_0402_1005Metric",3.915000,-2.150000,180.000000,bottom
"C19","100nF","C_0402_1005Metric",16.085000,-17.860000,0.000000,bottom
"C22","2.2µF","C_0603_1608Metric",23.650000,-20.000000,0.000000,bottom
"C23","2.2µF","C_0603_1608Metric",23.650000,-1.150000,180.000000,bottom
"C24","2.2µF","C_0603_1608Metric",23.652500,-18.850000,180.000000,bottom
"C28","100nF","C_0201_0603Metric_mod",11.150000,-16.145000,270.000000,bottom
"C29","100nF","C_0402_1005Metric",18.380000,-4.045000,90.000000,bottom
"C33","100nF","C_0201_0603Metric_mod",17.550000,-9.900000,270.000000,bottom
"C34","100nF","C_0402_1005Metric",1.560000,-15.920000,270.000000,bottom
"C35","10µF","C_1206_3216Metric",5.050000,-8.900000,270.000000,bottom
"C36","10µF","C_1206_3216Metric",7.050000,-8.900000,270.000000,bottom
"C37","1µF","C_0402_1005Metric",1.935000,-5.100000,0.000000,bottom
"C38","100nF","C_0201_0603Metric_mod",1.100000,-6.900000,90.000000,bottom
"C39","10µF","C_0603_1608Metric",5.062500,-11.749999,0.000000,bottom
"C40","100µF","CP_EIA-3216-10_Kemet-I",4.600000,-13.250000,0.000000,bottom
"C45","2.2µF","C_0603_1608Metric",23.650000,0.000000,180.000000,bottom
"C53","120pF","C_0201_0603Metric_mod",19.550000,-12.660000,0.000000,bottom
"D2","SBR1A30T5-7","D_SOD-523",0.000000,-13.800000,180.000000,bottom
"D101","PMEG3020EJ,115","D_SOD-323",6.025000,-5.875000,180.000000,bottom
"FB3","120R@100Mhz","L_0603_1608Metric",18.342500,-6.820000,0.000000,bottom
"FB4","120R@100Mhz","L_0603_1608Metric",18.280000,-13.540000,0.000000,bottom
"FB5","120R@100Mhz","L_0603_1608Metric",8.125000,-5.262500,270.000000,bottom
"FB6","120R@100Mhz","L_0603_1608Metric",1.875000,-13.675000,90.000000,bottom
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",-1.565000,-9.527500,90.000000,bottom
"L2","470nH","L_0603_1608Metric",19.040000,-9.132500,270.000000,bottom
"L3","1µH","L_Wuerth_MAPI-2506",2.300000,-10.750000,270.000000,bottom
"R1","100k","R_0201_0603Metric_mod",4.275000,-5.675000,270.000000,bottom
"R2","24k9","R_0201_0603Metric_mod",3.475000,-4.975000,180.000000,bottom
"R5","470R","R_0201_0603Metric_mod",-3.950000,-15.250000,90.000000,bottom
"R9","100R","R_0201_0603Metric_mod",-3.640000,-18.630000,180.000000,bottom
"R10","470R","R_0201_0603Metric_mod",-3.900000,-17.200000,90.000000,bottom
"R12","2k2","R_0201_0603Metric_mod",11.030000,0.640000,180.000000,bottom
"R14","2k2","R_0201_0603Metric_mod",11.020000,1.240000,180.000000,bottom
"R16","2k2","R_0201_0603Metric_mod",15.020000,-3.160000,180.000000,bottom
"R17","2k2","R_0201_0603Metric_mod",15.020000,-2.560000,180.000000,bottom
"R21","453k","R_0201_0603Metric_mod",20.410000,-12.890000,270.000000,bottom
"R22","100k","R_0201_0603Metric_mod",22.125000,-9.400000,90.000000,bottom
"R23","2k2","R_0201_0603Metric_mod",8.970000,-20.640000,0.000000,bottom
"R25","2k2","R_0201_0603Metric_mod",8.970000,-21.240000,0.000000,bottom
"R28","2k2","R_0201_0603Metric_mod",4.940000,-16.840000,0.000000,bottom
"R29","2k2","R_0201_0603Metric_mod",4.950000,-17.440000,0.000000,bottom
