Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100nF","C_0402_1005Metric",12.360000,-3.005000,90.000000,top
"C9","100nF","C_0402_1005Metric",1.590000,-3.965000,90.000000,top
"C13","220µF","CP_EIA-3528-15_AVX-H",-1.862500,-3.400000,180.000000,top
"C18","100nF","C_0402_1005Metric",16.090000,-2.110000,0.000000,top
"C20","1µF","C_AVX_Super_Low_ESL_mod",-0.200000,-16.900000,90.000000,top
"C25","2.2µF","C_0603_1608Metric",23.650000,-1.150000,180.000000,top
"C26","10µF","CP_EIA-3216-18_Kemet-A",8.960000,-15.860000,270.000000,top
"C27","10µF","CP_EIA-3216-18_Kemet-A",10.950000,-3.950000,90.000000,top
"C30","100nF","C_0402_1005Metric",18.340000,-16.010000,270.000000,top
"C31","100nF","C_0402_1005Metric",7.650000,-16.975000,270.000000,top
"C32","100nF","C_0402_1005Metric",3.910000,-17.870000,180.000000,top
"C42","2.2µF","C_AVX_Super_Low_ESL_mod",-2.400000,-15.200000,90.000000,top
"C43","1µF","C_AVX_Super_Low_ESL_mod",-0.200000,-15.200000,90.000000,top
"C44","2.2µF","C_AVX_Super_Low_ESL_mod",-2.400000,-16.900000,90.000000,top
"C46","2.2µF","C_0603_1608Metric",23.650000,-20.000000,180.000000,top
"C47","100nF","C_0201_0603Metric_mod",11.400000,-10.300000,180.000000,top
"C48","47µF","C_0603_1608Metric",11.062500,-14.150000,180.000000,top
"C49","22µF","C_0603_1608Metric",10.912500,-13.000000,180.000000,top
"C50","2.2µF","C_0402_1005Metric",11.500000,-12.000000,180.000000,top
"C51","2.2µF","C_0402_1005Metric",11.500000,-11.100000,180.000000,top
"C52","2.2µF","C_0402_1005Metric",5.300000,-11.515000,90.000000,top
"C54","100nF","C_0201_0603Metric_mod",-1.125000,-10.400000,180.000000,top
"C55","2.2µF","C_0603_1608Metric",23.650000,-18.850000,0.000000,top
"C56","2.2µF","C_0603_1608Metric",23.650000,0.000000,180.000000,top
"D1","True Green","LED_0201_0603Metric",-3.900000,-14.900000,270.000000,top
"D3","Blue","LED_0201_0603Metric",-3.900000,-18.500000,270.000000,top
"D4","White","LED_0201_0603Metric",-3.900000,-16.600000,270.000000,top
"J2","10132797-011100LF","10132797-011100LF",22.010000,-15.570000,180.000000,top
"J3","10132797-011100LF","10132797-011100LF",22.050000,-4.425000,0.000000,top
"J6","10132797-011100LF","10132797-011100LF",-1.850000,-7.400000,0.000000,top
"L4","39nH","L_0201_0603Metric",-0.600000,-12.120000,90.000000,top
"Q1","DMP2066LSN-7 ","SOT-323_SC-70",7.075000,-6.925000,270.000000,top
"R3","75R","R_0402_1005Metric",11.500000,-9.550000,180.000000,top
"R4","10k","R_0201_0603Metric_mod",11.550000,-6.850000,90.000000,top
"R6","75R","R_0402_1005Metric",8.685000,-13.250000,0.000000,top
"R7","470R","R_0201_0603Metric_mod",2.505000,-14.800000,0.000000,top
"R8","1k","R_0201_0603Metric_mod",3.820000,-14.800000,0.000000,top
"R11","10R","R_0201_0603Metric_mod",-1.050000,-11.000000,180.000000,top
"R13","2k2","R_0201_0603Metric_mod",11.050000,-20.650000,180.000000,top
"R15","2k2","R_0201_0603Metric_mod",11.050000,-21.250000,180.000000,top
"R18","2k2","R_0201_0603Metric_mod",15.070000,-16.840000,180.000000,top
"R19","2k2","R_0201_0603Metric_mod",15.020000,-17.440000,180.000000,top
"R20","2k2","R_0201_0603Metric_mod",8.970000,0.640000,0.000000,top
"R24","2k2","R_0201_0603Metric_mod",8.970000,1.240000,0.000000,top
"R26","2k2","R_0201_0603Metric_mod",4.930000,-3.160000,0.000000,top
"R27","2k2","R_0201_0603Metric_mod",4.930000,-2.560000,0.000000,top
"R30","2k2","R_0201_0603Metric_mod",-3.750000,-1.550000,270.000000,top
"R49","500µR","R_Shunt_Vishay_WSKW0612",21.250000,-11.025000,90.000000,top
"RN2","15k","R_Array_Convex_4x0402",12.730000,-20.370000,270.000000,top
"RN6","2k2","EXB18V_0201x4",10.730000,-19.500000,270.000000,top
"RN7","15k","R_Array_Convex_4x0402",7.270000,0.370000,90.000000,top
"RN9","2k2","EXB18V_0201x4",9.270000,-0.500000,90.000000,top
"RN13","2k2","EXB18V_0201x4",4.930000,-4.260000,270.000000,top
"RN15","2k2","EXB18V_0201x4",15.070000,-15.740000,90.000000,top
"U2","EFM8BB21F16G-C-QFN20R","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm",7.720000,-3.050000,270.000000,top
"U3","NCP81253MNTBG","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm",3.130000,-3.280000,90.000000,top
"U4","SiZ200DT","PowerPAIR3.3x3.3",3.956000,-0.085000,270.000000,top
"U6","EFM8BB21F16G-C-QFN20R","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm",12.280000,-16.950000,90.000000,top
"U10","NCP81253MNTBG","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm",13.830000,-3.650000,90.000000,top
"U13","SiZ200DT","PowerPAIR3.3x3.3",12.146000,-0.105000,270.000000,top
"U16","NCP81253MNTBG","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm",17.060000,-3.600000,0.000000,top
"U19","NCP81253MNTBG","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm",16.870000,-16.720000,270.000000,top
"U20","SiZ200DT","PowerPAIR3.3x3.3",16.064000,-0.075000,90.000000,top
"U23","SiZ200DT","PowerPAIR3.3x3.3",16.044000,-19.915000,90.000000,top
"U25","NCP81253MNTBG","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm",6.170000,-16.350000,270.000000,top
"U26","SiZ200DT","PowerPAIR3.3x3.3",7.854000,-19.895000,90.000000,top
"U27","NCP81253MNTBG","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm",2.940000,-16.400000,180.000000,top
"U29","SiZ200DT","PowerPAIR3.3x3.3",3.936000,-19.925000,270.000000,top
"U31","INA186","SOT-363_SC-70-6",21.300000,-8.100000,180.000000,top
"U34","AB7456","TSSOP-28_4.4x9.7mm_P0.65mm",15.900000,-10.000000,180.000000,top
"U35","ZOE-M8Q_ZOE-M8Q","ZOE-M8",2.100000,-11.850000,90.000000,top
"U36","ICM-20602","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",7.400000,-10.600000,180.000000,top
"U37","S25FL064L","WSON-8_4x4mm_P0.8mm",3.700000,-7.250000,0.000000,top
"U39","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",6.500000,-13.600000,0.000000,top
"X1","Molex_734120110","Molex_734120110",-3.025000,-12.175000,90.000000,top
